,Artist,Artist_ID,Track,Track_ID,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
35,Hozier,2FXC3k01G6Gw61bmprjgqS,Nina Cried Power,2QsquiKBcjvDUlO6QyvMEs,0.365,0.875,-3.228,0.131,0.365,0.875,-3.228,0.131,0.131
36,Take That,1XgFuvRd7r5g0h844A5ZUQ,Patience,4DxybsoSiMUW0JI2oM0SSN,0.309,0.783,-4.154,0.0405,0.309,0.783,-4.154,0.0405,0.0405
37,Eminem,7dGJo4pcD2V6oG8kP0tJRR,Without Me,7lQ8MOhq6IN2w8EYcFNSUk,0.908,0.669,-2.827,0.0738,0.908,0.669,-2.827,0.0738,0.0738
38,Linkin Park,6XyY86QOPPrYVGvF9ch6wz,Pts.Of.Athrty - Jay Gordon Reanimation,1tTgDt1fKE6wcul5s9CaDA,0.506,0.976,-5.066,0.155,0.506,0.976,-5.066,0.155,0.155
39,Anastacia,2siHvYaxjaW5rKVRiIrMYH,Left Outside Alone,2uNq2hKb4X1S30hBgoywOF,0.668,0.744,-3.554,0.0349,0.668,0.744,-3.554,0.0349,0.0349
40,Johnny Cash,6kACVPfCOnqzgfEF5ryl0x,Hurt,28cnXtME493VX9NOw9cIUh,0.534,0.392,-7.636,0.0267,0.534,0.392,-7.636,0.0267,0.0267
41,Eminem,7dGJo4pcD2V6oG8kP0tJRR,Love The Way You Lie,15JINEqzVMv3SvJTAXAKED,0.749,0.925,-5.034,0.227,0.749,0.925,-5.034,0.227,0.227
42,Linkin Park,6XyY86QOPPrYVGvF9ch6wz,X-Ecutioner Style (feat. Black Thought),5WOCLjTmfTvrEE6gzyb2XO,0.757,0.978,-3.749,0.215,0.757,0.978,-3.749,0.215,0.215
43,Mehmet Erdem,0ylYRIvKTpv9uvTfKbYjM0,Ben Ölmeden Önce (feat. Ceylan Ertem),4l0XGK3I5NyZH7h9xltqpG,0.486,0.71,-7.715,0.0443,0.486,0.71,-7.715,0.0443,0.0443
44,Opeth,0ybFZ2Ab08V8hueghSXm6E,Hope Leaves,05lem7bHWxyo98HOwPmils,0.501,0.48,-9.021,0.0249,0.501,0.48,-9.021,0.0249,0.0249
45,Eminem,7dGJo4pcD2V6oG8kP0tJRR,The Real Slim Shady,3yfqSUWxFvZELEM4PmlwIR,0.949,0.661,-4.244,0.0572,0.949,0.661,-4.244,0.0572,0.0572
46,Linkin Park,6XyY86QOPPrYVGvF9ch6wz,H! Vltg3 (Evidence Reanimation) [feat. Pharoahe Monch and DJ Babu],46DFLr1KAE4nfWcsgkT4xi,0.66,0.943,-4.166,0.277,0.66,0.943,-4.166,0.277,0.277
47,Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Tidal Wave,384TqRlwlMfeUAODhXfF3O,0.551,0.741,-4.245,0.029,0.551,0.741,-4.245,0.029,0.029
48,TNK,4EJYpvhyY4gO4rjEeitXLa,Yine Yazı Bekleriz,62Nuh1xuZf6Nbn3dSYLYS1,0.482,0.707,-5.231,0.0399,0.482,0.707,-5.231,0.0399,0.0399
49,Zayde Wølf,7LIy7KinYq7a83dUH6kvxT,Walk Through the Fire (feat. Ruelle),5ZpXdzws0fmicxw0MUbm1m,0.214,0.514,-6.57,0.0399,0.214,0.514,-6.57,0.0399,0.0399
50,Linkin Park,6XyY86QOPPrYVGvF9ch6wz,Ppr:kut (Cheapshot and Jubacca Reanimation) [feat. Rasco and Planet Asia],1Vz8DpQYciyM1gdGtwqVg2,0.565,0.897,-6.319,0.111,0.565,0.897,-6.319,0.111,0.111
51,Limp Bizkit,165ZgPlLkK7bf5bDoFc6Sb,Take A Look Around,2avKuMN2QXkaG9vvHa2JLt,0.425,0.852,-5.607,0.046,0.425,0.852,-5.607,0.046,0.046
52,5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,Old Me,5RUUkFNqH3GRKHg1xjprOb,0.721,0.621,-3.639,0.0483,0.721,0.621,-3.639,0.0483,0.0483
53,Lynyrd Skynyrd,4MVyzYMgTwdP7Z49wAZHx0,Simple Man,6F6DxQ3XjToEHX1e2KKSbg,0.461,0.734,-9.379,0.0374,0.461,0.734,-9.379,0.0374,0.0374
54,Linkin Park,6XyY86QOPPrYVGvF9ch6wz,Rnw@y (Backyard Bangers Reanimation) [feat. Phoenix Orion],1VXt7X8M9sHvdeNI7GUuYJ,0.602,0.921,-4.633,0.0604,0.602,0.921,-4.633,0.0604,0.0604
55,The HU,0b2B3PwcYzQAhuJacmcYgc,Yuve Yuve Yu,6J2VvzKwWc2f0JP5RQVZjq,0.624,0.857,-6.25,0.0542,0.624,0.857,-6.25,0.0542,0.0542
56,Highly Suspect,2pqd3HsfsvcBGtHvPOg6eg,My Name Is Human,6lYkFYPKdyOSSZ5xHCJbYg,0.507,0.723,-5.577,0.0288,0.507,0.723,-5.577,0.0288,0.0288
57,The Fray,0zOcE3mg9nS6l3yxt1Y0bK,Never Say Never,57uX2vR9j9DNiANDYfXw1i,0.23,0.492,-5.767,0.0317,0.23,0.492,-5.767,0.0317,0.0317
58,Linkin Park,6XyY86QOPPrYVGvF9ch6wz,1Stp Klosr (The Humble Brothers Reanimation) [feat. Jonathan Davis],6BcF4tXjinsT9NBYFoxS6t,0.471,0.927,-5.76,0.0495,0.471,0.927,-5.76,0.0495,0.0495
59,The Alan Parsons Project,2m62cc253Xvd9qYQ8d2X3d,Sirius - Chicago Bulls Theme Song,4OV0sRTFrZLXaZZ1sS9hLn,0.624,0.396,-15.411,0.034,0.624,0.396,-15.411,0.034,0.034
60,LP,0J7U24vlOOIeMpuaO6Q85A,One Night in the Sun (Live in Moscow),5VX3kgZRVZ945HDceyPRYW,0.448,0.667,-7.099,0.0317,0.448,0.667,-7.099,0.0317,0.0317
61,Yaşar,50AOA3aPd6tc928KEYaljF,Şarkılar Güzelse Hala,0LdI4bEAhDYxkOXNdl5cOk,0.697,0.911,-7.911,0.08,0.697,0.911,-7.911,0.08,0.08
62,Linkin Park,6XyY86QOPPrYVGvF9ch6wz,In the End,60a0Rd6pjrkxjPbaKzXjfq,0.556,0.864,-5.87,0.0584,0.556,0.864,-5.87,0.0584,0.0584
63,Beth Hart,30TrHDLNCKQVTYWOn9QqOC,Damn Your Eyes,2G3jRqrVVl8PmJOqNP64tr,0.514,0.715,-7.943,0.0367,0.514,0.715,-7.943,0.0367,0.0367
64,Amy Winehouse,6Q192DXotxtaysaqNPy5yR,Back To Black,30FURVTCpbKyykjSEQzGkH,0.49,0.725,-3.304,0.0392,0.49,0.725,-3.304,0.0392,0.0392
65,Sixx:A.M.,3886aFez2HDLkio5tUzmP6,Life Is Beautiful 2017,7p8u5FfXdJQjosJNSnq56j,0.377,0.45,-10.028,0.0446,0.377,0.45,-10.028,0.0446,0.0446
